Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Neighborhoods,DELETE - Police Districts
1139330-03-171,1066914,Joy-Jk Corporation,Zzan,643 Post St,San Francisco,CA,94109,03/10/2017,,03/10/2017,,1160 MISSION ST UNIT 705,San Francisco,94103,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1154603-07-171,1073385,Tacaxoy Maria,Zutuhil Azteca,601 Mission Bay Blvd,San Francisco,CA,94158,07/17/2017,,07/17/2017,,15 BAYVIEW ST,San Francisco,94124,CA,7220-7229,Food Services,f,f,,,6,Mission Bay,,,,,,,,,,,,
1161679-09-171,1073385,Tacaxoy Maria,Zutuhil Azteca,1601 Mission St,San Francisc,CA,94110,07/17/2017,,09/20/2017,,15 BAYVIEW ST,San Francisco,94124,CA,7220-7229,Food Services,f,f,H79,MOBILE FOOD FACILITY 5,,,,,,,,,,,,,,
1154473-07-171,1073385,Tacaxoy Maria,Zutuhil Azteca,1374 Natoma St,San Francisco,CA,94103,07/17/2017,,07/17/2017,07/17/2017,15 BAYVIEW ST,San Francisco,94124,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0359034-01-001,359034,Zushi Puzzle Inc,Zushi Puzzle Inc,1910 Lombard St,San Francisco,CA,94123,09/15/2002,,09/15/2002,,16041 VIA NUEVA,San Lorenzo,94580,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",2,Marina,,POINT (-122.433048 37.80027),17,4,6,13,57,13,1,6,17,9
1251857-05-201,1114161,Zuri Food Facilities,Zuri Foods,2550 Appian Way,Pinole,CA,94564,05/11/2020,,05/11/2020,,2550 Appian Way,Pinole,94564,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1250454-04-201,1113592,Zuri Food Facilities,Zuri,2550 Appian Way Ste 217,Pinole,CA,94564,04/13/2020,,04/13/2020,,2550 Appian Way 217 Ste,Pinole,94564,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0948241-01-001,948241,Cucagna Ltd,Zuni Cafe,1658 Market St,San Francisco,CA,94102,12/01/1995,,12/01/1995,,1658 MARKET ST,San Francisco,94102,CA,7220-7229,Food Services,f,f,D04 H26 P23,Multiple,5,Hayes Valley,,POINT (-122.421545 37.773452),21,1,11,9,28852,7,11,2,10,2
1212564-02-191,1098116,"Zume, Inc.",Zume,972 Mission St Fl 2nd,San Francisco,CA,94103,09/01/2018,,09/01/2018,12/18/2019,795 FOLSOM ST 2 FL,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1250126-04-201,440915,San Francisco Pizza Co Llc,Zpizza,883 Mission St,San Francisco,CA,94103,07/30/2009,,09/21/2011,,883 Mission St,San Francisco,94103,CA,7220-7229,Food Services,f,f,,,6,South of Market,,,,,,,,,,,,
0440915-01-001,440915,San Francisco Pizza Co Llc,Zpizza,833 Mission St,San Francisco,CA,94103,07/30/2009,,09/21/2011,,883 MISSION ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",6,South of Market,,POINT (-122.406027 37.783021),32,1,10,34,28853,12,9,2,34,2
0423501-01-001,423501,Ferat Inc,Zozan Slice Pizza,1535 Haight St,San Francisco,CA,94117,12/01/2007,,12/01/2007,07/15/2009,1535 HAIGHT ST,San Francisco,94117,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.447577 37.769915),25,7,11,3,29492,15,11,8,9,5
1211325-01-191,1092701,Cloud Eight Inc,Zorokuyuzan,125 Ellis St,San Francisco,CA,94102,09/12/2018,,01/29/2019,04/10/2019,1247 HARRISON ST 4 APT,San Francisco,94103,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0458922-04-001,458922,Majin Enterprises Inc,Zoomaak,1552 Fillmore St,San Francisco,CA,94115,05/17/2011,,09/04/2013,12/28/2015,1620 POST ST,San Francisco,94115,CA,7220-7229,Food Services,f,f,,,5,Western Addition,,POINT (-122.432809 37.783776),97,4,11,39,29490,13,11,6,41,9
1036704-08-151,1017110,He Qingyuan,Zongxi,668 Pacific Ave,San Francisco,CA,94108,08/17/2015,,08/17/2015,,654 GRANT AVE 16 APT,San Francisco,94108,CA,7220-7229,Food Services,f,f,WM18,Multiple,,,,POINT (-122.406642 37.79693),104,6,3,6,308,3,10,1,4,1
1198710-08-181,450358,Destination Bars Inc,Zombie Village,441 Jones St,San Francisco,CA,94102,12/01/2010,,02/13/2012,,244 KEARNY ST FL 7,San Francisco,94108,CA,7220-7229,Food Services,f,f,P23,PLACES OF ENTERTAINMENT,6,Tenderloin,,,,,,,,,,,,
1148728-05-171,1071165,Amazon Preservation Partners Llc Dba Zola,Zola,1501 Vermont St Unit A,San Francisco,CA,94107,04/01/2017,,04/01/2017,,1501 VERMONT ST UNIT A,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,10,Potrero Hill,,,,,,,,,,,,
0439416-01-001,439416,Zogs Dogs Llc,"Zog's Dogs",1 Post St,San Francisco,CA,94104,05/01/2009,,05/01/2009,,100 BUSH ST FL 22,San Francisco,94104,CA,7220-7229,Food Services,f,f,,,3,Financial District/South Beach,,POINT (-122.402637 37.789037),19,6,3,8,28854,4,10,1,6,1
1217156-03-191,1100071,Marcell Crawford,Zme Sweets,1047 Capitol Ave,San Francisco,CA,94112,03/27/2019,,03/27/2019,,1047 CAPITOL AVE,San Francisco,94112,CA,7220-7229,Food Services,f,f,,,11,Oceanview/Merced/Ingleside,,,,,,,,,,,,
1121104-09-161,1039310,Alimento Llc,Zita,2862 24th St,San Francisco,CA,94110,07/01/2016,,09/27/2016,,2095 CALIFORNIA ST APT 305,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25 P54,Multiple,,,,,,,,,,,,,,
